Index,Release Date,Season,Episode,Episode Title,Name,gender,class,house,Sentence,
14094,6/15/2014,Season 4,Episode 10,The Children,tywin lannister,male,great_house,lannister,"What, are you afraid of a dead whore?",2
14095,6/15/2014,Season 4,Episode 10,The Children,tywin lannister,male,great_house,lannister,You shot me. You're no son of mine.,2
2620,6/12/2011,Season 1,Episode 9,Baelor,unidentified nights watchers,male,common,none,Well done. Well done.,3
7420,3/31/2013,Season 3,Episode 1,Valar Dohaeris,unsullied,male,common,none,This one is pleased to have served you.,1
20940,7/30/2017,Season 7,Episode 3,The Queen’s Justice,unsullied,male,common,none,There are none left.,1
23460,5/12/2019,Season 8,Episode 5,The Bells,unsullied,male,common,none,We speak the common tongue.,1
23462,5/12/2019,Season 8,Episode 5,The Bells,unsullied,male,common,none,We have orders to guard the prisoner.,1
23464,5/12/2019,Season 8,Episode 5,The Bells,unsullied,male,common,none,No.,1
23844,5/19/2019,Season 8,Episode 6,The Iron Throne,unsullied captain,male,common,none,All the men have boarded.,2
17749,5/8/2016,Season 6,Episode 3,Oathbreaker,vala,female,common,none,The Unsullied and the Second Songs are foreign soldiers brought here by a foreign queen to destroy our city and our history,1
17751,5/8/2016,Season 6,Episode 3,Oathbreaker,vala,female,common,none,"Yes, you're a true liberator, aren't you? You won't torture me, you'll just threaten my son",1
17753,5/8/2016,Season 6,Episode 3,Oathbreaker,vala,female,common,none,"If I tell you anything, they'll kill me So either you kill me or they do",1
19987,6/26/2016,Season 6,Episode 10,The Winds of Winter,vale knight,male,noble,lesser,You can't expect Knights of the Vale to side with wildling invaders.,2
19989,6/26/2016,Season 6,Episode 10,The Winds of Winter,vale knight,male,noble,lesser,Not by me.,2
23817,5/19/2019,Season 8,Episode 6,The Iron Throne,vale lord,male,noble,lesser,Aye.,2
1952,5/22/2011,Season 1,Episode 6,A Golden Crown,vardis egan,male,noble,lesser,"With all my heart, my Lady. But the Imp is half my size. It would be shameful to slaughter such a man and call it justice.",2
1956,5/22/2011,Season 1,Episode 6,A Golden Crown,vardis egan,male,noble,lesser,"My Lady, I would gladly fight the Imp's champion for you.",2
1619,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,vardis egen,male,noble,lesser,"You're far from home, Lady Stark.",2
1621,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,vardis egen,male,noble,lesser,"Ser Vardis Egen, Knight of The Vale. Is Lady Arryn expecting your visit?",2
1623,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,vardis egen,male,noble,lesser,"May I ask, my Lady, why he is with you?",2
1625,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,vardis egen,male,noble,lesser,He doesn't look like a prisoner.,2
1627,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,vardis egen,male,noble,lesser,"Yes, my Lady. She will at that.",2
627,5/1/2011,Season 1,Episode 3,Lord Snow,varys,male,noble,lesser,Lord Stark.,1
629,5/1/2011,Season 1,Episode 3,Lord Snow,varys,male,noble,lesser,I was grievously sorry to hear of your troubles on the Kingsroad. We are all praying for Prince Joffrey's full recovery.,1
644,5/1/2011,Season 1,Episode 3,Lord Snow,varys,male,noble,lesser,His Grace has many cares. He entrusts some small matters to us that we might lighten the load.,1
661,5/1/2011,Season 1,Episode 3,Lord Snow,varys,male,noble,lesser,"You are the King's Hand, Lord Stark, we serve at your pleasure.",1
756,5/1/2011,Season 1,Episode 3,Lord Snow,varys,male,noble,lesser,Lady Stark.,1
758,5/1/2011,Season 1,Episode 3,Lord Snow,varys,male,noble,lesser,To see you again after so many years is a blessing. Your poor hands.,1
760,5/1/2011,Season 1,Episode 3,Lord Snow,varys,male,noble,lesser,"Knowledge is my trade, my Lady. Did you bring the dagger with you, by any chance? My little birds are everywhere. Even in the north. They whisper to me the strangest stories. Valyrian steel.",1
762,5/1/2011,Season 1,Episode 3,Lord Snow,varys,male,noble,lesser,I must admit I do not.,1
1109,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",varys,male,noble,lesser,Dreadful.,1
1117,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",varys,male,noble,lesser,"The realm prospers from such events, my Lord. They give the great a chance at glory, and the lowly a respite from their woes.",1
1522,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"How is your son, my Lord?",1
1524,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,But his mind is sound?,1
1526,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,A blessing then. I suffered an early mutilation myself. Some doors close forever... others open in the most unexpected places. May I?,1
1527,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"If the wrong ears heard what I'm about to tell you, off comes my head. And who would mourn poor Varys then? North or South, they sing no songs for spiders. But there are things you must know. You are the King's Hand and the King is a fool... your friend, I know, but a fool... and doomed unless you save him.",1
1529,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,I didn't trust you.,1
1531,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"The Queen is not the only one who has been watching you closely. There are few men of honor in the capital. You are one of them. I would like to believe I am another, strange as that may seem.",1
1533,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"The same sort as Jon Arryn. The tears of Lys, they call it. A rare and costly thing, as clear and tasteless as water. It leaves no trace.",1
1535,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"Some dear friend, no doubt. But which one? There were many. Lord Arryn was a kind and trusting man. There was one boy... all he was he owed to Jon Arryn.",1
1537,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"Pity what happened to him, just when his life seemed to be going so nicely.",1
1539,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,Someone who could afford it.,1
1541,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,He started asking questions.,1
1542,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,He's found one bastard already. He has the book. The rest will come.,1
1544,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"The gods alone know. The fools tried to kill his son. What's worse, they botched it. The wolf and the lion will be at each other's throats. We will be at war soon, my friend.",1
1546,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,This Hand is not the other.,1
1548,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"Delay,"" you say. ""Move fast, "" I reply. This is no longer a game for two players.",1
1550,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,The first to arrive and the last to leave. I admire your industry.,1
1552,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,We all have our qualities.,1
1554,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,I think you're mistaking business with pleasure.,1
1556,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"Oh, I'm sure. Lord Redwyne likes his boys very young, I hear.",1
1558,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"Though I suppose beauty is a subjective quality, no? Is it true that Ser Marlon of Tumblestone prefers amputees?",1
1560,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,And I heard the most awful rumor about a certain lord with a taste for fresh cadavers. Must be enormously difficult to accommodate that inclination. The logistics alone... to find beautiful corpses before they rot.,1
1562,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,Strictly speaking.,1
1564,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"Do you know, I have no idea where they are? And we had been so close. But enough about me. How have you been since we last saw each other?",1
1566,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"Now the last time I saw you, you were talking to the Hand of the King.",1
1568,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,Eyes I own.,1
1570,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,Everyone's well aware of your enduring fondness for Lord Stark's wife. If the Lannisters were behind the attempt on the Stark boy's life and it was discovered that you helped the Starks come to that conclusion... To think... A simple word to the Queen...,1
1572,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,Oh.,1
1574,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,Have you?,1
1576,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,Was that you under the bed?,1
1578,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"Oh, please.",1
1582,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,Disturbing news from far away. Haven't you heard?,1
1644,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"No rumor, my Lord. The princess is with child.",1
1646,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,Ser Jorah Mormont. He is serving as adviser to the Targaryens.,1
1653,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,varys,male,noble,lesser,"I understand your misgivings, my Lord. Truly, I do. It is a terrible thing we must consider, a vile thing. Yet, we who presume to rule must sometimes do vile things for the good of the realm. Should the gods grant Daenerys a son, the realm will bleed.",1
2215,5/29/2011,Season 1,Episode 7,You Win or You Die,varys,male,noble,lesser,"I wonder, Ser Barristan, who gave the king this wine?",1
2218,5/29/2011,Season 1,Episode 7,You Win or You Die,varys,male,noble,lesser,Such a dutiful boy to make sure his Grace did not lack refreshment.,1
2220,5/29/2011,Season 1,Episode 7,You Win or You Die,varys,male,noble,lesser,I'm afraid those birds have flown.,1
2391,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,"Lord Stark, you must be thirsty.",1
2393,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,I promise you it isn't poisoned.,1
2395,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,The younger one seems to have escaped the castle.,1
2397,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,Still engaged to Joffrey.,1
2399,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,"And would again, My Lord.",1
2401,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,"Ah, the children. It is always the innocents who suffer.",1
2403,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,The wrong brother sadly.,1
2405,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,"Not today, My Lord.",1
2407,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,"The Realm, My Lord.",1
2428,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,"Your father has proved to be an awful traitor, dear.",1
2523,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,"We have nothing but gratitude for your long service, good Ser.",1
2541,6/5/2011,Season 1,Episode 8,The Pointy End,varys,male,noble,lesser,A child's faith Such sweet innocence.,1
2547,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,"You've seen better days, my lord.",1
2549,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,"No, no, many still love you. Sansa came to court this morning to plead for your life.",1
2551,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,"You do me wrong, my lord. Your blood is the last thing l want.",1
2553,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,"When l was still a boy - before they cut my balls off with a hot knife - l traveled with a group of actors through the free cities. They taught me that each man has a role to play. The same is true at court. l am the master of whisperers. My role is to be sly, obsequious and without scruples. l'm a good actor, my lord.",1
2555,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,"l could. But will l? No. As l said, I'm no hero.",1
2557,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,Peace. Did you know that your son is marching south with an army of Northmen? Loyal lad. Fighting for his father's freedom.,1
2559,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,Boys have been conquerors before. But the man giving Cersei sleepless nights is the king's the late king's brother. Lord Stannis has the best claim to the throne. He is a proven battle commander and he is utterly without mercy.,1
2561,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,Sansa pleaded so sweetly for your life. lt would be a shame to throw it away. Cersei is no fool. She knows a tame wolf is more use to her than a dead one.,1
2563,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,"l want you to serve the realm! Tell the queen you will confess your vile treason, tell your son to lay down his sword and proclaim Joffrey as the true heir. Cersei knows you as a man of honor. lf you give her the peace she needs, and promise to carry her secret to your grave, l believe she will allow you to take the black and live out your days on the Wall with your brother and your bastard son.",1
2565,6/12/2011,Season 1,Episode 9,Baelor,varys,male,noble,lesser,"Pity. Such a pity. What of your daughter's life, my lord? ls that a precious thing to you?",1
3116,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,"When you imagine yourself up there, how do you look? Does the crown fit? Do all the lords and ladies simper and bow, the ones who sneered at you for years?",1
3118,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,A man with great ambition and no morals… l wouldn't bet against you.,1
3120,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,l must be one of the few men in this city who doesn't want to be King.,1
3122,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,"Oh, you can do better than that.",1
3124,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,Have you? Do you spend a lot of time wondering what's between my legs?,1
3126,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,"l am flattered, of course, to be pictured at all.",1
3128,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,Am l? That is good to know. Do you lie awake at night fearing my gash?,1
3130,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,"And l admire you, Lord Baelish. A grasper from a minor House with a major talent for befriending powerful men – and women.",1
3132,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,So here we stand in mutual admiration and respect.,1
3134,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,Serving a new King.,1
3136,6/19/2011,Season 1,Episode 10,Fire and Blood,varys,male,noble,lesser,My king.,1
3221,4/1/2012,Season 2,Episode 1,The North Remembers,varys,male,noble,lesser,"The peasants say, a long summer means an even longer winter.",1
3238,4/1/2012,Season 2,Episode 1,The North Remembers,varys,male,noble,lesser,Your father has named Lord Tyrion to serve as Hand in his stead while he fights -,1
3551,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,Your father has named Lord Tyrion to serve as hand in his stead.,1
3606,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,My lord.,1
3608,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,We were just speaking of your bravery in the victory against the Stark auxiliary forces.,1
3610,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,I heard you suffered a terrible head wound. The northerners are such fearsome warriors.,1
3612,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,To find so lovely creature working in your father's kitchen. It almost beggars belief.,1
3615,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,How can you tell?,1
3618,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,"I am glad your new friend was able to accompany you to the capital. Friends are such an important part of life. Unfortunate that your father didn't want her to come. But rest easy my lord, I am very good at keeping secrets for my good friends.",1
3620,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,"How unspeakable of me to go on and on, when all you want to do is rest. I will leave you. . Welcome to Kings Landing, my dear. The city is made brighter by your presence. We have a council meeting, my lord.",1
3622,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,Who threatened you?,1
3624,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,Ned Stark was a man of honor.,1
3626,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,"You might be disappointed in the results. The storms come and go. The big fish eat the little fish. And I keep on paddling. Come, my lord. We shouldn't keep the queen waiting.",1
3638,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,Trouble with the wildlings?,1
3640,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,Somewhat less wild these days. It seems they've stopped killing each other and started following this King-Beyond-the-Wall.,1
3647,4/8/2012,Season 2,Episode 2,The Night Lands,varys,male,noble,lesser,How do you kill a dead man?,1
4162,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,"Ooh. ""The Queen mustn't know."" I love conversations that begin this way.",1
4164,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,"Theon Greyjoy? Forgive me, my lord, but how? He grew up a ward of Winterfell. He fights for Robb Stark.",1
4272,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,You'll be pleased to know our mutual friend is doing quite well in Lady Sansa's service.,1
4274,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,And it seems the Grand Maester has found his way into a black cell?,1
4275,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,"Well played, My Lord Hand. But should I be worried? Janos Slynt, Pycelle - The Small Council grows smaller every day.",1
4277,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,"Power is a curious thing, my lord. Are you fond of riddles?",1
4279,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,"Three great men sit in a room. A king, a priest and a rich man. Between them stands a common sellsword. Each great man bids the sellsword kill the other two. Who lives, who dies?",1
4281,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,Does it? He has neither crown nor gold nor favor with the gods.,1
4283,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,"But if it's swordsmen who rule, why do we pretend kings hold all the power? When Ned Stark lost his head, who was truly responsible? Joffrey? The executioner? Or something else?",1
4285,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,varys,male,noble,lesser,"Power resides where men believe it resides. It's a trick, a shadow on the wall. And a very small man can cast a very large shadow.",1
6134,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,My Lord Hand. Commander. I must compliment you on the gold cloaks' performance these last few weeks. Did you know there has been a marked drop in thievery?,1
6142,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"Given the circumstances, my lord, I believe extreme measures are warranted.",1
6143,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"Ah. ""The Great Sieges of Westeros."" Thrilling subject. Shame Archmaester Ch'Vyalthan wasn't a better writer.",1
6145,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"And if Stannis does attack the Mud Gate, what is our plan?",1
6147,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,We don't have that many books.,1
6149,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,What do we have?,1
6332,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"No man can be in all rooms at all times. I have many little birds in the North, my lord, but I haven't heard their songs since Theon Greyjoy captured Winterfell.",1
6339,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,I am trying.,1
6341,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"Oh, no one disputes that, my lord, not even the multitudes who despise you.",1
6343,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"I wish we could, too.",1
6345,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"If we're going to play, you'll have to start.",1
6347,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,A most highborn plumber.,1
6349,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"You're quite good at being Hand, you know? Jon Arryn and Ned Stark were good men. Honorable men. But they disdained the game and those who played. You enjoy the game.",1
6351,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,And you play it well.,1
6353,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,They say he burns his enemies alive to honor the Lord of Light.,1
6355,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"In the Summer Isles, they worship a fertility goddess with sixteen teats.",1
6357,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"This morning, I heard a song all the way from Qarth beyond the Red Waste. Daenerys Targaryen lives.",1
6359,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,varys,male,noble,lesser,"She has three dragons. But even if what they say is true, it'll be years before they are fully grown. And then there will be nowhere to hide.",1
6446,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,"I've always hated the bells. They ring for horror. A dead king, a city under siege.",1
6448,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,"Exactly. Podrick, is that it?",1
6450,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,I'm not entirely sure what you're suggesting.,1
6452,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,Do you trust him?,1
6454,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,Good.,1
6455,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,The map you asked for.,1
6457,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,Closer to fifty. The Targaryens built this city to withstand a siege and to provide escape if necessary.,1
6459,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,"That is good to hear. Though I'm sure many captains say the same while their ship is afloat. You look well suited for battle, my lord.",1
6461,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,"For all our sakes, I hope you are wrong. My little birds tell me that Stannis Baratheon has taken up with a red priestess from Asshai.",1
6463,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,"You don't believe in the old powers, my lord?",1
6465,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,I think you believe in what you see and in what those you trust have seen. You probably don't entirely trust me.,1
6467,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,"And yet I have seen things and heard things, things you have not, things I wish I had not. I don't believe I've ever told you how I was cut.",1
6469,5/27/2012,Season 2,Episode 9,Blackwater,varys,male,noble,lesser,"One day, I will. The dark arts have provided Lord Stannis with his armies and paved his path to our door. For a man in service to such powers to sit on the Iron Throne, I can think of nothing worse. And tonight, I believe you are the only man who can stop him.",1
6777,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,"No need for that, my dear.",1
6779,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,I'm not like most men.,1
6782,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,I would like you to tell me if working for Lord Baelish has been all you'd hoped it would be.,1
6784,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,You wouldn't remember me if we had?,1
6786,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,And I think you remember all of them. I think your true talents are wasted on them.,1
6788,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,You're afraid. Why? Nothing dangerous down there.,1
6790,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,"And, unlike your current employer, I protect those who work for me. I don't abuse them to satisfy royal whims or force them to abuse each other.",1
6792,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,I thought you said you knew who I was.,1
6794,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,Littlefinger looks at you and sees a collection of profitable holes. I see a potential partner.,1
6796,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,"Oh, you should be. He's a dangerous man. But everyone has their weaknesses. Your current employer hides his very well, but not as well as he thinks.",1
6935,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,Why would I lie about it?,1
6937,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,"Where before there was nothing but love. Ser Mandon Moore tried to kill you on your sister's orders. If it weren't for your squire's bravery, you'd be a dead man.",1
6942,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,I'm afraid your friend has been relieved of his command of the City Watch. The gold cloaks are now firmly in the hands of your father or your sister. It varies from cloak to cloak.,1
6944,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,"Have gone home. Your father paid them quite handsomely. I'm afraid we won't be seeing each other for some time, my lord.",1
6946,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,"We are. Podrick, would you mind?",1
6947,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,"There are many who know that without you this city faced certain defeat. The king won't give you any honors, the histories won't mention you, but we will not forget.",1
6948,6/3/2012,Season 2,Episode 10,Valar Morghulis,varys,male,noble,lesser,"Come along now, Podrick.",1
7952,4/14/2013,Season 3,Episode 3,Walk of Punishment,varys,male,noble,lesser,"We are trying, my lord.",1
7954,4/14/2013,Season 3,Episode 3,Walk of Punishment,varys,male,noble,lesser,"Robb Stark and most of his bannermen are in Riverrun for the funeral of his grandfather Lord Hoster Tully. In Stark's absence, Roose Bolton holds Harrenhal, which would seem to make him Lord of Harrenhal, in practice if not in name.",1
8325,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,varys,male,noble,lesser,"Oh, Lord Tyrion. Come in, come in.",1
8327,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,varys,male,noble,lesser,"Oh, always in confidence.",1
8329,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,varys,male,noble,lesser,"Oh, no. It's a wonderful time.",1
8331,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,varys,male,noble,lesser,End your life?,1
8333,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,varys,male,noble,lesser,Proof? Will there be a trial?,1
8335,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,varys,male,noble,lesser,"I have no proof, only whispers. Before all this nastiness, I was going to tell you the story of how I was cut. Do you want to hear it still?",1
8337,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,varys,male,noble,lesser,"As a boy, I traveled with a troupe of actors through the Free Cities. One day in Myr, a certain man made my master an offer too tempting to refuse. I feared the man meant to use me as I'd heard some men used small boys. But what he wanted was far worse. He gave me a potion that made me powerless to move or speak, yet did nothing to dull my senses. With a hooked blade he sliced me, root and stem, chanting all the while. He burned my parts in a brazier. The flames turned blue and I heard a voice answer his call. I still dream of that night. Not of the sorcerer, not of his blade. I dream of the voice from the flames. Was it a god? A demon? A conjurer's trick? I don't know. But the sorcerer called and a voice answered. And ever since that day, I have hated magic and all those who practice it. But you can see why I was eager to aid in your fight against Stannis and his Red Priestess. A symbolic revenge of sorts.",1
8339,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,varys,male,noble,lesser,You do not possess at the moment.,1
